LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
1,Pałac Kultury i Nauki Łódź,Historia/Architektura,Łódź,"51.7754, 19.4563",#architektura #historia #centrum,1.5-2h,Historyczny pałac z galerią sztuki,Codziennie; 9:00-17:00
2,Muzeum Sztuki Łódź,Sztuka/Kultura,Łódź,"51.7754, 19.4563",#sztuka #kolekcja #edukacyjne,2-3h,Jedno z najciekawszych muzeów sztuki w Polsce,Wtorek-niedziela; 10:00-18:00
3,Rynek Starego Miasta,Historia/Architektura,Łódź,"51.7754, 19.4563",#architektura #historia #centrum,1-2h,Historyczne serce miasta z ratuszem,Cały rok; dostęp 24/7
4,Ulica Piotrkowska,Historia/Szlak,Łódź,"51.7700, 19.4550",#spacer #moda #kawiarnie,2-4h,"Najdłuższa handlowa ulica w Polsce - 3,2 km",Cały rok; dostęp 24/7
5,Manufaktura Łódź,Rozrywka/Centrum,Łódź,"51.7600, 19.4500",#shopping #rozrywka #gastronomia,Cały dzień,Nowoczesne centrum handlowo-rozrywkowe,Codziennie; 9:00-21:00
6,Muzeum Folkloru i Etnografii,Etnografia/Kultura,Łódź,"51.7800, 19.4600",#folklor #tradycja #edukacyjne,1.5-2h,Muzeum tradycji ludowych,Wtorek-niedziela; 10:00-18:00
7,Katedra św. Stanisława Kostki,Religia/Architektura,Łódź,"51.7750, 19.4570",#sakralny #neogotycka #architektura,1-1.5h,Neogotycka katedra z XIX wieku,Codziennie; 8:00-18:00
8,Muzeum Kinematografii,Historia/Kultura,Łódź,"51.7800, 19.4600",#kino #historia #edukacyjne,1.5-2h,Muzeum historii polskiego kina,Wtorek-niedziela; 10:00-18:00
9,Park Źródła,Natura/Park,Łódź,"51.7850, 19.4650",#park #spacer #zielень,1.5-2h,Historyczny park miejski,Cały rok; dostęp 24/7
10,Ogród Botaniczny,Natura/Park,Łódź,"51.7900, 19.4700",#botaniczne #spacer #rośliny,1.5-2h,Ogród z egzotycznymi roślinami,Maj-wrzesień; 9:00-19:00
11,Muzeum Sztuki Nowoczesnej,Sztuka/Kultura,Łódź,"51.7800, 19.4600",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
12,Kino Multikino Łódź,Rozrywka/Kino,Łódź,"51.7600, 19.4500",#kino #film #rozrywka,2-3h,Nowoczesne kino z 12 salami,Codziennie; godziny seansów zmienne
13,Muzeum Domu Piotrkowskiego,Historia/Muzeum,Łódź,"51.7700, 19.4550",#historia #architektura #edukacyjne,1-1.5h,Muzeum zabytkowego domu,Wtorek-niedziela; 10:00-18:00
14,Park Zdrojowy Łódź,Natura/Park,Łódź,"51.7900, 19.4800",#park #spacer #relaks,1-2h,Park zdrojowy z fontannami,Cały rok; dostęp 24/7
15,Muzeum Historii Miasta,Historia/Kultura,Łódź,"51.7754, 19.4563",#historia #kultura #edukacyjne,1.5-2h,Muzeum o historii Łodzi,Wtorek-niedziela; 10:00-18:00
