LP,Nazwa,Typ Galerii,Lokalizacja,GPS,Vibe,Czas zwiedzania,Opis,Godziny otwarcia
1,Aleja Bielany,Hyper Galeria,Bielany Wrocławskie,"51.0872, 16.9820",#hipermarkt #moda #rodzinne,Cały dzień,"Jedno z największych centrów - 145 tys. m², 200+ sklepów",Codziennie 9:00-22:00
2,Arkady Wrocławskie,Galeria Śródmieścia,Wrocław,"51.1034, 17.0356",#moda #design #premium,2-3h,"Galeria premium - 100+ marek, kawiarnie, restauracje",Codziennie 9:00-21:00
3,CH Bielawa,Galeria Handlowa,Bielawa,"50.6720, 16.5600",#moda #hipermarkt #gastronomia,1-2h,"50+ sklepów, Carrefour",Codziennie 8:00-20:00
4,CH Brzeg Dolny,Galeria Handlowa,Brzeg Dolny,"51.3620, 16.9280",#moda #gastronomia #usługi,1-2h,"30+ sklepów, kawiarnie, usługi",Codziennie 9:00-19:00
5,CH Centrum Bolesławiec,Galeria Handlowa,Bolesławiec,"51.2380, 15.5750",#moda #gastronomia #usługi,1-2h,"40+ sklepów, usługi, parking",Codziennie 9:00-19:00
6,CH Designer,Outlet Handlowy,Wrocław,"51.0900, 16.9600",#outlet #moda #rabaty,2-3h,Maski designerskie z rabatami,Codziennie 10:00-20:00
7,CH Dzierżoniów,Galeria Handlowa,Dzierżoniów,"50.5930, 16.4430",#moda #hipermarkt #gastronomia,1-2h,"40+ sklepów, Carrefour, usługi",Codziennie 8:00-20:00
8,CH E.Leclerc,Hyper Galeria,Wrocław,"51.0950, 16.9750",#hipermarkt #moda #gastronomia,Cały dzień,"Hipermarket, 50+ sklepów towarzyszących",Codziennie 7:00-22:00
9,CH Family Point,Galeria Handlowa,Wrocław,"51.1020, 17.0180",#moda #elektronika #usługi,2-3h,"80+ sklepów, elektronika, usługi",Codziennie 9:00-21:00
10,CH Ferio Gaj,Galeria Handlowa,Wrocław,"51.1180, 16.9880",#moda #gastronomia #rodzinne,2-3h,"100+ sklepów, restauracje, parking",Codziennie 9:00-21:00
11,CH Focus Park,Park Handlowy,Wrocław,"51.0800, 16.9500",#moda #outlet #gastronomia,2-3h,"Park handlowy - outlet, moda",Codziennie 9:00-21:00
12,CH Forum Lubin,Galeria Handlowa,Lubin,"51.4020, 16.1980",#moda #hipermarkt #rozrywka,2-3h,"70+ sklepów, Carrefour, gastronomia",Codziennie 9:00-21:00
13,CH Gorzyce,Galeria Handlowa,Gorzyce,"50.9600, 16.2000",#moda #gastronomia #usługi,1-2h,"40+ sklepów, kawiarnie",Codziennie 9:00-20:00
14,CH Górka Marzeń,Galeria Handlowa,Górka Marzeń,"50.6050, 16.7150",#moda #gastronomia #outlet,2-3h,"50+ sklepów, restauracje, outlet",Codziennie 9:00-21:00
15,CH Głogów,Galeria Handlowa,Głogów,"51.6680, 15.0830",#moda #hipermarkt #usługi,1-2h,"50+ sklepów, Auchan, usługi",Codziennie 8:00-21:00
16,CH Jeżów Sudecki,Galeria Handlowa,Jeżów Sudecki,"50.9660, 15.7440",#moda #gastronomia #turystyka,1-2h,"35+ sklepów, kawiarnie",Codziennie 9:00-19:00
17,CH Korona,Galeria Handlowa,Wrocław,"51.1200, 16.9800",#moda #kino #gastronomia,Cały dzień,"180+ sklepów, kino, park rozrywki",9:00-21:00
18,CH Kowary,Galeria Handlowa,Kowary,"50.7986, 15.8342",#outlet #moda #gastronomia,2-3h,"50+ sklepów, outlet, restauracje",Codziennie 9:00-21:00
19,CH Kowary Park,Park Handlowy,Kowary,"50.7986, 15.8342",#outlet #moda #sportowe,2-3h,"Outlet, sportowe, gastronomia",Codziennie 9:00-21:00
20,CH Kudowa-Zdrój,Galeria Handlowa,Kudowa-Zdrój,"50.4440, 16.2500",#moda #spa #gastronomia,1-2h,"40+ sklepów, usługi spa, kawiarnie",Codziennie 10:00-19:00
21,CH Kłodzko Centrum,Galeria Handlowa,Kłodzko,"50.4340, 16.6520",#moda #gastronomia #usługi,1-2h,"45+ sklepów, restauracje",Codziennie 9:00-20:00
22,CH Milicz,Galeria Handlowa,Milicz,"51.5940, 16.8830",#moda #gastronomia #usługi,1-2h,"30+ sklepów, usługi",Codziennie 9:00-19:00
23,CH Międzylesie,Galeria Handlowa,Międzylesie,"50.2870, 16.7030",#moda #gastronomia #turystyka,1-2h,"30+ sklepów, kawiarnie",Codziennie 9:00-19:00
24,CH Nowa Ruda,Galeria Handlowa,Nowa Ruda,"50.5540, 16.5130",#moda #gastronomia #usługi,1-2h,"40+ sklepów, restauracje",Codziennie 9:00-20:00
25,CH Nowy Rynek JG,Galeria Handlowa,Jelenia Góra,"50.8980, 15.7650",#moda #gastronomia #usługi,1-2h,"50+ sklepów, restauracje",Codziennie 9:00-20:00
26,CH Ołtaszyn,Galeria Handlowa,Wrocław,"51.0820, 16.9650",#moda #gastronomia #spa,2-3h,"70+ sklepów, restauracje, spa",Codziennie 9:00-20:00
27,CH Piastowskie,Galeria Handlowa,Wrocław,"51.1150, 17.0450",#moda #gastronomia #usługi,1-2h,"50+ sklepów, restauracje, parking",Codziennie 9:00-20:00
28,CH Piechowice,Galeria Handlowa,Piechowice,"50.8420, 15.6950",#moda #gastronomia #usługi,1-2h,"30+ sklepów, kawiarnie",Codziennie 9:00-19:00
29,CH Polanica-Zdrój,Galeria Handlowa,Polanica-Zdrój,"50.0460, 16.7550",#moda #spa #gastronomia,1-2h,"35+ sklepów, usługi spa",Codziennie 10:00-19:00
30,CH Premium,Galeria Handlowa,Wrocław,"51.1100, 17.0400",#luksus #moda #premium,2-3h,"Maski premium, moda ekskluzywna",Codziennie 10:00-21:00
31,CH Środa Śląska,Galeria Handlowa,Środa Śląska,"51.4920, 17.2180",#moda #gastronomia #usługi,1-2h,"35+ sklepów, usługi",Codziennie 9:00-19:00
32,CH Szklarska Poręba,Galeria Handlowa,Szklarska Poręba,"50.8460, 15.5390",#moda #turystyka #gastronomia,1-2h,"40+ sklepów, kawiarnie",Codziennie 9:00-21:00
33,CH Stoszowice,Galeria Handlowa,Stoszowice,"50.2200, 16.4200",#moda #gastronomia #turystyka,1-2h,"30+ sklepów, kawiarnie",Codziennie 9:00-19:00
34,CH Trzebnica,Galeria Handlowa,Trzebnica,"51.3270, 17.0630",#moda #gastronomia #usługi,1-2h,"40+ sklepów, kawiarnie",Codziennie 9:00-20:00
35,CH Wałbrzych,Galeria Handlowa,Wałbrzych,"50.7700, 16.2850",#moda #kino #gastronomia,2-3h,"100+ sklepów, kino, food court",Codziennie 9:00-21:00
36,CH Zielona Góra,Galeria Handlowa,Zielona Góra,"51.9350, 15.5080",#moda #kino #rozrywka,Cały dzień,"80+ sklepów, kino, gastronomia",Codziennie 9:00-21:00
37,CH Żary,Galeria Handlowa,Żary,"51.6430, 15.2850",#moda #hipermarkt #gastronomia,2-3h,"60+ sklepów, Carrefour, food court",Codziennie 8:00-21:00
38,Centrum Echo Jelenia Góra,Galeria Handlowa,Jelenia Góra,"50.9227, 15.7631",#moda #kino #rozrywka,Cały dzień,"80+ sklepów, kino Helios, gastronomia",Codziennie 9:00-21:00
