LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
1,Stare Miasto Kraków,Historia/Architektura,Kraków,"50.0469, 19.9383",#architektura #historia #centrum,2-3h,Historyczne serce miasta z Rynkiem Głównym,Cały rok; dostęp 24/7
2,Wawel Kraków,Historia/Pałac,Kraków,"50.0536, 19.9359",#pałac #historia #korona polska,2-3h,Zamek królewski z klejnotami korony,Codziennie; 9:30-17:00
3,Bazylika Mariacka,Religia/Architektura,Kraków,"50.0469, 19.9383",#sakralny #gotycka #hejnał,1-1.5h,Gotycka bazylika z słynnym hejnałem,Codziennie; 5:00-19:00
4,Muzeum Czartoryskich,Sztuka/Kultura,Kraków,"50.0530, 19.9420",#sztuka #Leonardo da Vinci #kolekcja,2-3h,Muzeum z 'Damą z gronostajem' Da Vinciego,Wtorek-niedziela; 10:00-18:00
5,Galeria Sztuki Polskiej,Sztuka/Kultura,Kraków,"50.0550, 19.9450",#sztuka polska #wystawy #muzeum,2-3h,Galeria ze sztuką polskich mistrzów,Wtorek-niedziela; 10:00-18:00
6,Muzeum Inżynierii Miejskiej,Technika/Historia,Kraków,"50.0450, 19.9400",#technika #historia #edukacyjne,1.5-2h,Muzeum o historii infrastruktury Krakowa,Wtorek-niedziela; 9:00-17:00
7,Plac Nowy Kraków,Historia/Szlak,Kraków,"50.0480, 19.9420",#architektura #spacer #kawiarnie,1-2h,Plac z Manggą i zabytkową zabudową,Cały rok; dostęp 24/7
8,Muzeum Archeologiczne,Archeologia/Historia,Kraków,"50.0500, 19.9440",#archeologia #edukacyjne #wykopaliska,1.5-2h,Muzeum z artefaktami sprzed tysięcy lat,Wtorek-niedziela; 10:00-18:00
9,Park Kraków-Zakrzówek,Natura/Park,Kraków,"50.0450, 19.9300",#park #spacer #widok panoramiczny,1.5-2h,Park z widokiem na Kraków i Wawel,Cały rok; dostęp 24/7
10,Muzeum Karykatury,Sztuka/Kultura,Kraków,"50.0520, 19.9410",#karykatura #humor #sztuka,1-1.5h,Muzeum poświęcone sztuce karykaturze,Wtorek-niedziela; 11:00-19:00
11,Kościół św. Katarzyny,Religia/Architektura,Kraków,"50.0400, 19.9450",#sakralny #gotycka #zabytek,0.5-1h,Gotycki kościół z XIV wieku,Codziennie; 8:00-18:00
12,Muzeum Historii Krakowa,Historia/Kultura,Kraków,"50.0469, 19.9383",#historia #kultura #edukacyjne,1.5-2h,Muzeum o bogatej historii miasta,Wtorek-niedziela; 10:00-18:00
13,Ogród Botaniczny,Natura/Park,Kraków,"50.0250, 19.9500",#botaniczne #spacer #rośliny,1.5-2h,Ogród z egzotycznymi roślinami,Maj-wrzesień; 9:00-19:00
14,Park Planty,Natura/Park,Kraków,"50.0500, 19.9400",#park #spacer #historia,1-2h,Historyczny park pełny zieleni,Cały rok; dostęp 24/7
15,Tadeusz Śliwa Kraków,Rozrywka/Historia,Kraków,"50.0500, 19.9400",#cyrk #rozrywka #artystyka,1-1.5h,Muzeum cyrkowości,Wtorek-niedziela; 10:00-18:00
16,Muzeum Japonii,Sztuka/Kultura,Kraków,"50.0600, 19.9500",#sztuka japońska #kultura #edukacyjne,1.5-2h,Kolekcja sztuki i kultury japońskiej,Wtorek-niedziela; 10:00-18:00
17,Kościół Paulinów,Religia/Architektura,Kraków,"50.0380, 19.9350",#sakralny #barokowy #zabytek,0.5-1h,Barokowy kościół paulinów,Codziennie; 8:00-18:00
18,Muzeum Fabryki Schindlera,Historia/Muzeum,Kraków,"50.0450, 19.9300",#II WŚ #historia #edukacyjne,1.5-2h,Muzeum o Schindlerze i Holokauście,Poniedziałek-niedziela; 10:00-20:00
19,Park Decjusza,Natura/Park,Kraków,"50.0380, 19.9280",#park zabytkowy #spacer #historia,1-2h,Park z pałacem Decjusza,Cały rok; dostęp 24/7
20,Muzeum Rzemiosła,Kultura/Tradycja,Kraków,"50.0530, 19.9420",#rękodzieło #tradycja #edukacyjne,1.5-2h,Muzeum tradycyjnych rzemiosł,Wtorek-niedziela; 10:00-18:00
21,Kościół Dominikanów,Religia/Architektura,Kraków,"50.0490, 19.9400",#sakralny #gotycki #zabytek,0.5-1h,Gotycki kościół dominikanów,Codziennie; 8:00-18:00
22,Muzeum Etnograficzne,Etnografia/Kultura,Kraków,"50.0420, 19.9360",#etnografia #tradycja #edukacyjne,1.5-2h,Muzeum tradycji ludowych,Wtorek-niedziela; 10:00-18:00
23,Park Szaflary,Natura/Park,Kraków,"50.0480, 19.9380",#park #spacer #rekreacja,1-2h,Park na przedmieściu Krakowa,Cały rok; dostęp 24/7
24,Muzeum Pojazdów Zabytkowych,Technika/Historia,Kraków,"50.0400, 19.9300",#pojazdy #technika #edukacyjne,1.5-2h,Muzeum starych samochodów i motocykli,Wtorek-niedziela; 10:00-18:00
25,Kościół św. Barbary,Religia/Architektura,Kraków,"50.0475, 19.9385",#sakralny #renesansowy #zabytek,0.5-1h,Renesansowy kościół św. Barbary,Codziennie; 8:00-18:00
26,Muzeum Sztuki Współczesnej,Sztuka/Kultura,Kraków,"50.0550, 19.9460",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
27,Park Piastowski,Natura/Park,Kraków,"50.0520, 19.9300",#park zabytkowy #spacer #pomniki,1-2h,Park z pomnikami i historią,Cały rok; dostęp 24/7
28,Muzeum Witraży,Sztuka/Kultura,Kraków,"50.0480, 19.9390",#witraże #sztuka #edukacyjne,1-1.5h,Muzeum sztuki witrażowej,Wtorek-sobota; 10:00-18:00
29,Kościół Mariacki - Wieża,Religia/Widok,Kraków,"50.0469, 19.9383",#sakralny #panorama #widok,0.5-1h,Wieża z panoramą Krakowa,Codziennie; 9:00-17:30
30,Muzeum Śpiącej Królewny,Historia/Legenda,Kraków,"50.0500, 19.9400",#legenda #historia #edukacyjne,1-1.5h,Muzeum o legendach Krakowa,Wtorek-niedziela; 10:00-18:00
31,Muzeum Auschwitz-Birkenau,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #edukacyjne #pamiątka,3-4h,Muzeum Holokaustu - najstraszliwsza pamiątka,Codziennie; 8:00-18:00
32,Blok 10,Historia/Muzeum,Oświęcim,"50.0313, 19.1831",#II WŚ #historia #edukacyjne,1.5-2h,Blok z eksponatami z obozu,Codziennie; 8:00-18:00
33,Birkenau - Rampa,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #pamiątka #historia,1-1.5h,Legendarny punkt wjazdu więźniów,Codziennie; 8:00-18:00
34,Kaplica św. Maksymiliana,Religia/Pamiątka,Oświęcim,"50.0313, 19.1831",#sakralny #pamiątka #modlitwa,0.5-1h,Kaplica poświęcona ofiarom,Codziennie; 8:00-18:00
35,Elektryczne ogrodzenie,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #pamiątka #historia,0.5-1h,Pozostałości ogrodzenia z drutem,Codziennie; 8:00-18:00
36,Krematorium Auschwitz,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #pamiątka #edukacyjne,1-1.5h,Budynek krematorium - nauka historii,Codziennie; 8:00-18:00
37,Monumument Ofiar,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#pamiątka #modlitwa #historia,0.5-1h,Pomnik poświęcony ofiarom,Codziennie; dostęp 24/7
38,Muzeum Powstania w Getcie,Historia/Muzeum,Oświęcim,"50.0313, 19.1831",#II WŚ #getty #edukacyjne,1.5-2h,Muzeum o powstaniu w getcie warszawskim,Wtorek-niedziela; 10:00-18:00
39,Baraków więźniów,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #pamiątka #historia,1-1.5h,Pozostałości baraków więźniów,Codziennie; 8:00-18:00
40,Centrum Informacyjne,Historia/Edukacja,Oświęcim,"50.0313, 19.1831",#II WŚ #edukacyjne #informacje,1-1.5h,Centrum z dokumentacją i informacją,Codziennie; 8:00-18:00
41,Muzeum Śląskie Katowice,Sztuka/Historia,Katowice,"50.2569, 19.0237",#sztuka #historia #edukacyjne,2-3h,Jedno z najciekawszych muzeów w Polsce,Wtorek-niedziela; 10:00-18:00
42,Altus Centrum,Rozrywka/Kultura,Katowice,"50.2569, 19.0237",#kino #gastronomia #rozrywka,2-4h,Nowoczesne centrum kulturalno-handlowe,Codziennie; 10:00-22:00
43,Spodek Katowice,Architektura/Historia,Katowice,"50.2640, 19.0287",#architektura #koncerty #sport,1-1.5h,Ikoniczna hala w kształcie spodka,Cały rok; dostęp 24/7
44,Muzeum Historii Katowic,Historia/Kultura,Katowice,"50.2569, 19.0237",#historia #kultura #edukacyjne,1.5-2h,Muzeum o historii miasta,Wtorek-niedziela; 10:00-17:00
45,Park Kościuszki Katowice,Natura/Park,Katowice,"50.2450, 19.0200",#park #spacer #zielень,1-2h,Główny park miasta,Cały rok; dostęp 24/7
46,Oskar Blues Hall,Muzyka/Rozrywka,Katowice,"50.2569, 19.0237",#muzyka #koncerty #rozrywka,1-2h,Sala koncertowa i klubu muzycznego,Codziennie; od godz. 20:00
47,Teatr Szyfmanu Katowice,Kultura/Teatr,Katowice,"50.2569, 19.0237",#teatr #sztuka #kultura,2-3h,Teatr z bogatą historią,Dni spektakli zmienne
48,Музейка Katowice,Edukacja/Muzeum,Katowice,"50.2569, 19.0237",#edukacyjne #rodzinne #interaktywne,1.5-2h,Interaktywne muzeum dla dzieci,Wtorek-niedziela; 10:00-18:00
49,Planetarium Katowice,Nauka/Edukacja,Katowice,"50.2450, 19.0200",#astronomia #edukacyjne #widowisko,1-1.5h,Planetarium z pokazami nieba,Czwartek-niedziela; 18:00-20:00
50,Muzeum Fotografii,Sztuka/Fotografia,Katowice,"50.2569, 19.0237",#fotografia #sztuka #edukacyjne,1.5-2h,Muzeum sztuki fotografii,Wtorek-niedziela; 10:00-18:00
51,Pałac Kultury i Nauki,Architektura/Historia,Katowice,"50.2569, 19.0237",#architektura #kultura #historia,1-2h,Zabytkowy pałac z kulturą,Cały rok; dostęp 24/7
52,Aquapark Energylandia,Rozrywka/Aquapark,Zator,"49.9800, 19.5500",#aquapark #zjeżdżalnie #rodzinne,Cały dzień,Największy aquapark w Polsce,Cały rok; 9:00-21:00
53,Energylandia,Rozrywka/Park,Zator,"49.9800, 19.5500",#park rozrywki #kolejki #rodzinne,Cały dzień,Ogromny park rozrywki,Maj-wrzesień; 10:00-20:00
54,Kopania Soli Wieliczka,Przyroda/Podziemie,Wieliczka,"49.9840, 19.9933",#sól #kopalnia #turystyka,2-3h,Słynna kopalnia soli z jeziorami,Codziennie; 8:00-19:00
55,Zamek Krolów Czernicy,Historia/Zamek,Czernicy,"49.9000, 19.5000",#zamek #historia #turystyka,1.5-2h,Zabytkowy zamek szlachty,Maj-wrzesień; 10:00-18:00
56,Parki Oświęcimskie,Historia/Park,Oświęcim,"50.0313, 19.1831",#parki #historia #spacer,1-2h,Parki z historią obok Auschwitz,Cały rok; dostęp 24/7
57,Górka Energi,Rozrywka/Park,Słupsk,"49.8500, 19.2500",#park #zabawa #rodzinne,2-3h,Park ze zjeżdżalnią na torbie,Maj-wrzesień; 10:00-18:00
58,Muzeum Żywy Górnik,Historia/Muzeum,Tychy,"50.1200, 19.1100",#górnictwo #historia #edukacyjne,1.5-2h,Muzeum górnictwa węgla,Wtorek-niedziela; 10:00-18:00
59,Huta Sztuki Tychy,Sztuka/Kultura,Tychy,"50.1200, 19.1100",#sztuka #galeria #kultura,1.5-2h,Galeria sztuki współczesnej,Wtorek-niedziela; 11:00-19:00
60,Zamek w Pszczynie,Historia/Zamek,Pszczyna,"50.0480, 18.9810",#zamek #historia #museum,2-3h,Zamek arystokratyski z kolekcjami,Wtorek-niedziela; 10:00-18:00
61,Park Dendrochemiczny Pszczyna,Natura/Park,Pszczyna,"50.0480, 18.9810",#park zabytkowy #botaniczne #spacer,1.5-2h,Park z rzadkimi roślinami,Cały rok; 9:00-17:00
62,Muzeum Górni Bogdanka,Historia/Technika,Bogdanka,"50.1500, 19.5000",#górnictwo #technika #edukacyjne,1.5-2h,Muzeum górnictwa roponośnego,Wtorek-niedziela; 9:00-17:00
63,Zamek w Chudowie,Historia/Zamek,Chudów,"51.1800, 18.2500",#zamek #historia #ruiny,1-1.5h,Ruiny zamku rycerskiego,Cały rok; dostęp 24/7
64,Muzeum Górnictwa Węgla,Historia/Technika,Zabrze,"50.3100, 18.7600",#górnictwo #historia #edukacyjne,2-3h,Muzeum z kopalnią węgla,Wtorek-niedziela; 10:00-18:00
65,Skansen Chorzowa,Kultura/Tradycja,Chorzów,"50.2900, 18.9700",#skansen #architektura #tradycja,2-3h,Skansen z budynkami tradycji,Maj-wrzesień; 10:00-18:00
66,Park Zadupna,Natura/Park,Zabrze,"50.3100, 18.7600",#park #spacer #zielень,1-2h,Park miejski z historią,Cały rok; dostęp 24/7
67,Muzeum Medycyny,Historia/Nauka,Zabrze,"50.3100, 18.7600",#medycyna #historia #edukacyjne,1.5-2h,Muzeum historii medycyny,Wtorek-niedziela; 10:00-17:00
68,Pałac Meinertzhagena,Historia/Architektura,Bielsko-Biała,"49.8230, 18.8980",#pałac #historia #zabytek,1.5-2h,Pałac z muzeami,Wtorek-niedziela; 10:00-18:00
69,Muzeum Papiernictwa,Historia/Technika,Bielsko-Biała,"49.8230, 18.8980",#papiernictwo #historia #tradycja,1.5-2h,Muzeum starego rzemiosła papierniczego,Wtorek-niedziela; 10:00-16:00
70,Park Hallera Bielsko,Natura/Park,Bielsko-Biała,"49.8200, 18.8900",#park zabytkowy #spacer #historia,1.5-2h,Historyczny park miejski,Cały rok; dostęp 24/7
71,Tatry National Park,Przyroda/Park,Zakopane,"49.1973, 19.9486",#park narodowy #góry #szlaki,Cały dzień,Najpiękniejszy park w Polsce,Cały rok; dostęp 24/7
72,Morskie Oko,Przyroda/Jezioro,Zakopane,"49.1973, 19.9486",#jezioro #góry #szlak,3-4h,Najpiękniejsze jezioro w Tatrach,Cały rok; dostęp 24/7
73,Pięć Stawów,Przyroda/Jeziora,Zakopane,"49.1973, 19.9486",#jeziora #góry #szlaki,Cały dzień,Piękny szlak przez pięć jezior,Czerwiec-wrzesień; dostęp 24/7
74,Chata Gąsienicowa,Historia/Architektura,Zakopane,"49.1973, 19.9486",#zabytek #tradycja #architektura,1-1.5h,Tradycyjna góralska chata,Cały rok; 9:00-17:00
75,Szlak do Karpkowskiego Stawu,Przyroda/Szlak,Zakopane,"49.1973, 19.9486",#szlak #jezioro #przyroda,2-3h,Szlak przez piękne krajobrazy,Maj-wrzesień; dostęp 24/7
76,Muzeum Tatrzańskie,Historia/Kultura,Zakopane,"49.2980, 19.8550",#historia #tradycja #góralska kultura,1.5-2h,Muzeum tradycji góralskiej,Wtorek-niedziela; 10:00-18:00
77,Dom Dunin-Wąsowicza,Historia/Architektura,Zakopane,"49.2980, 19.8550",#architektura #zabytek #muzeum,1-1.5h,Zabytkowy dom w stylu góralskim,Wtorek-niedziela; 10:00-17:00
78,Kasprowy Wierch,Przyroda/Góra,Zakopane,"49.2330, 19.9860",#góra #widok #panorama,1-1.5h,Szczyt z panoramą Tatr (kolej),Maj-wrzesień; 7:30-17:00
79,Dolina Kościeliska,Przyroda/Dolina,Zakopane,"49.2200, 19.7900",#przyroda #szlaki #krajobrazy,Cały dzień,Piękna dolina z szlakami,Cały rok; dostęp 24/7
80,Jaskinia Mroźna,Przyroda/Jaskinia,Zakopane,"49.2200, 19.7900",#jaskinia #przyroda #odkrywanie,1-1.5h,Jaskinia z lodami całorocznym,Maj-wrzesień; 10:00-17:00
81,Piwniczna-Zdrój,Natura/Uzdrowisko,Piwniczna-Zdrój,"49.7000, 20.6500",#uzdrowisko #spa #natura,1.5-2h,Uzdrowisko z wodami mineralnymi,Cały rok; dostęp 24/7
82,Park Zdrojowy Piwniczna,Natura/Park,Piwniczna-Zdrój,"49.7000, 20.6500",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
83,Szlak Pradziad,Przyroda/Szlak,Piwniczna-Zdrój,"49.6500, 20.7000",#szlak #góry #przyroda,Cały dzień,Szlak turystyczny przez góry,Maj-wrzesień; dostęp 24/7
84,Beskid Żywiecki,Przyroda/Góry,Żywiec,"49.7000, 19.1900",#góry #szlaki #przyroda,Cały dzień,Piękne góry do trekkingu,Cały rok; dostęp 24/7
85,Muzeum Żywca,Historia/Kultura,Żywiec,"49.7000, 19.1900",#historia #kultura #edukacyjne,1.5-2h,Muzeum o historii Żywca,Wtorek-niedziela; 10:00-18:00
86,Jezioro Żywieckie,Przyroda/Jezioro,Żywiec,"49.7500, 19.2000",#jezioro #plaża #sport wodny,2-4h,Jezioro regatowe,Czerwiec-sierpień; dostęp 24/7
87,Orawie Beskid,Przyroda/Góry,Orava,"49.3000, 19.3000",#góry #szlaki #przyroda,Cały dzień,Piękne krajobrazy górskie,Cały rok; dostęp 24/7
88,Szlak Trzy Korony,Przyroda/Szlak,Dunajec,"49.3500, 20.7000",#szlak #przyroda #wąwóz,Cały dzień,Słynny szlak przez Pieniny,Maj-wrzesień; dostęp 24/7
89,Wąwóz Dunajca,Przyroda/Wąwóz,Dunajec,"49.3500, 20.7000",#wąwóz #rzeka #kajaki,2-4h,Piękne przejście przez wąwóz,Maj-wrzesień; dostęp 24/7
90,Sokol Nowy,Przyroda/Góra,Dunajec,"49.3600, 20.7100",#góra #widok #panorama,1-1.5h,Szczyt z pięknym widokiem,Maj-wrzesień; dostęp 24/7
91,Park Pienin,Przyroda/Park,Dunajec,"49.3500, 20.7000",#park #przyroda #szlaki,Cały dzień,Park z szlakami turystycznymi,Cały rok; dostęp 24/7
92,Szlak Przełęczą Między Wierzchami,Przyroda/Szlak,Zakopane,"49.2000, 19.9000",#szlak #góry #przyroda,Cały dzień,Wysokoalpejski szlak,Czerwiec-wrzesień; dostęp 24/7
93,Krościenko nad Dunajcem,Historia/Architektura,Krościenko,"49.4200, 20.6800",#architektura #historia #turystyka,1-2h,Historyczne miasteczko nad rzeką,Cały rok; dostęp 24/7
94,Zamek w Niedzicy,Historia/Zamek,Niedzica,"49.4100, 20.6900",#zamek #historia #muzeum,1.5-2h,Zamek z widokiem na Dunajec,Maj-wrzesień; 10:00-18:00
95,Park Zabytkowy Niedzicy,Historia/Park,Niedzica,"49.4100, 20.6900",#park zabytkowy #historia #spacer,1-2h,Park przy zamku,Cały rok; dostęp 24/7
96,Muzeum Zamku Niedzicy,Historia/Muzeum,Niedzica,"49.4100, 20.6900",#historia #muzeum #edukacyjne,1-1.5h,Muzeum w zamku,Maj-wrzesień; 10:00-18:00
97,Szlak Nad Dunajcem,Przyroda/Szlak,Dunajec,"49.3500, 20.7000",#szlak #rzeka #przyroda,2-3h,Szlak wzdłuż pięknej rzeki,Maj-wrzesień; dostęp 24/7
98,Drechówka,Natura/Szlak,Drechówka,"49.4500, 20.5000",#szlak #przyroda #krajobrazy,Cały dzień,Turystyczne miasteczko,Cały rok; dostęp 24/7
99,Osada Szotów,Natura/Wioska,Szotów,"49.3500, 20.8000",#wioska #tradycja #przyroda,1-2h,Tradycyjna góralska wioska,Cały rok; dostęp 24/7
100,Przełęcz między Trzy Korony,Przyroda/Przełęcz,Pieniny,"49.3500, 20.7000",#szlak #góry #przyroda,1-1.5h,Przełęcz z widokami,Maj-wrzesień; dostęp 24/7
101,Restauracja Tradycyjna Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#tradycyjna kuchnia #relaks #widok,2-3h,Restauracja z polskimi potrawami,Codziennie; 12:00-22:00
102,Kawiarnia Artystyczna Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#kawiarnia #sztuka #relaks,1-2h,Kawiarnia z galerią sztuki,Wtorek-niedziela; 10:00-18:00
103,Piekarnia Tradycyjna Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#pieczenie #tradycja #chleb,0.5-1h,Tradycyjna piekarnia,Poniedziałek-sobota; 7:00-17:00
104,Restauracja nad Wisłą,Kultura/Gastronomia,Kraków,"50.0450, 19.9300",#ryby #tradycyjna kuchnia #widok,2-3h,Restauracja z widokiem na Wisłę,Codziennie; 12:00-22:00
105,Termy Kraków,Relaks/Aquapark,Kraków,"50.0500, 19.9400",#termalne #spa #aquapark,2-4h,Kompleks termalny,Cały rok; 8:00-22:00
106,Spa Kraków,Relaks/Zdrowie,Kraków,"50.0469, 19.9383",#spa #masaże #relaks,2-4h,Kompleks SPA,Cały rok; 10:00-20:00
107,Browar Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#piwo #tradycja #muzeum,1.5-2h,Browar z możliwością zwiedzania,Wtorek-sobota; 10:00-18:00
108,Gorzelnia Tradycyjna Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#spirytus #tradycja #degustacja,1-1.5h,Tradycyjna gorzelnia,Wtorek-sobota; 10:00-17:00
109,Wędzarnia Kraków,Kultura/Gastronomia,Kraków,"50.0450, 19.9350",#wędliny #tradycja #produkty,1-1.5h,Wędzarnia z tradycyjnymi produktami,Poniedziałek-piątek; 8:00-16:00
110,Cukiernia Artystyczna Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#cukiernictwo #tradycja #deserty,0.5-1h,Artystyczna cukiernia,Codziennie; 9:00-19:00
111,Kawiarnia Podróżnika Kraków,Kultura/Gastronomia,Kraków,"50.0469, 19.9383",#kawiarnia #podróże #eksotyczne,1-2h,Kawiarnia z eksotyczną kawą,Codziennie; 9:00-19:00
112,Restauracja Górska Zakopane,Kultura/Gastronomia,Zakopane,"49.2980, 19.8550",#tradycyjna kuchnia #góralska #relaks,2-3h,Restauracja z góralską kuchnią,Codziennie; 12:00-22:00
113,Pijalnia Wód Piwniczna,Relaks/Zdrowie,Piwniczna-Zdrój,"49.7000, 20.6500",#uzdrowisko #wody mineralne #spa,1-2h,Pijalnia wód mineralnych,Cały rok; 8:00-18:00
