LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
1,Stary Rynek Zielona Góra,Historia/Architektura,Zielona Góra,"51.9350, 15.5060",#architektura #historia #centrum,2-3h,Historyczne serce miasta z ratuszem i kamienicami,Cały rok; dostęp 24/7
2,Muzeum Lubuskie Zielona Góra,Historia/Sztuka,Zielona Góra,"51.9350, 15.5080",#sztuka #kultura #edukacyjne,2-3h,Muzeum z kolekcją historyczną i artystyczną,Wtorek-niedziela; 10:00-18:00
3,Pałac Lubomirskich Zielona Góra,Historia/Architektura,Zielona Góra,"51.9350, 15.5060",#pałacowy #neorenesansowy #zabytek,1.5-2h,Neorenesansowy pałac z XIX wieku,Maj-wrzesień; 10:00-16:00
4,Katedra św. Jadwigi Zielona Góra,Religia/Architektura,Zielona Góra,"51.9350, 15.5070",#sakralny #gotycka #architektura,1-1.5h,Gotycka katedra z wnętrzem z XIV wieku,Codziennie; 8:00-18:00
5,Park Słoneczny Zielona Góra,Natura/Park,Zielona Góra,"51.9380, 15.5100",#park #spacer #zielень,1-2h,Park miejski z jeziorem i trasami,Cały rok; dostęp 24/7
6,Jezioro Guido Zielona Góra,Natura/Rekreacja,Zielona Góra,"51.9400, 15.5150",#jezioro #plaża #kąpiel,2-4h,Jezioro regatowe z plażą i infrastrukturą,Czerwiec-sierpień; dostęp 24/7
7,Park Piastów Śląskich,Natura/Park,Zielona Góra,"51.9420, 15.5180",#park zabytkowy #pomniki #spacer,1.5-2h,Park z pomnikami i historycznym wyposażeniem,Cały rok; dostęp 24/7
8,Muzeum Winiarstwa Zielona Góra,Kultura/Gastronomia,Zielona Góra,"51.9350, 15.5060",#wino #tradycja #degustacja,1.5-2h,Muzeum z kolekcją win i historią branży,Wtorek-niedziela; 10:00-17:00
9,Piwnica Winiarzy,Kultura/Gastronomia,Zielona Góra,"51.9350, 15.5050",#wino #historyczne #tradycja,1-1.5h,Zabytkowa piwnica z winem i tradycją,Wtorek-niedziela; 12:00-20:00
10,Skwer Wina Zielona Góra,Kultura/Gastronomia,Zielona Góra,"51.9350, 15.5070",#wino #plac #festiwal,1-2h,Plac z dożynkami i festiwalami winiarskimi,Cały rok; dostęp 24/7
11,Muzeum Puszkiniana,Historia/Kultura,Zielona Góra,"51.9350, 15.5100",#literatura #rosyjskie #muzeum,1.5-2h,Muzeum poświęcone Aleksandrowi Puszkowi,Wtorek-sobota; 10:00-16:00
12,Zamek w Żaganiu,Historia/Architektura,Żagań,"51.7950, 15.2850",#barokowy #pałacowy #muzeum,2-3h,Barokowy zamek z muzeum i ogrodami,Wtorek-niedziela; 10:00-17:00
13,Park Zamkowy Żagań,Natura/Park,Żagań,"51.7950, 15.2850",#park zabytkowy #spacer #historia,1.5-2h,Park otaczający zamek z alejami,Cały rok; dostęp 24/7
14,Muzeum Twierdzy Żary,Historia/Militaria,Żary,"51.6430, 15.2850",#militarne #historia #odkrywanie,2-3h,Muzeum fortyfikacji i historii wojennej,Wtorek-niedziela; 10:00-16:00
15,Stary Rynek Żary,Historia/Architektura,Żary,"51.6430, 15.2880",#architektura #historia #ratusz,1-2h,Historyczny rynek z ratuszem,Cały rok; dostęp 24/7
16,Jezioro Żary,Natura/Rekreacja,Żary,"51.6500, 15.2800",#jezioro #żeglarstwo #plaża,2-4h,Piękne jezioro z marinami i plażami,Czerwiec-sierpień; dostęp 24/7
17,Muzeum Regionalnego Żary,Historia/Kultura,Żary,"51.6430, 15.2850",#regionalne #sztuka #edukacyjne,1.5-2h,Muzeum z kolekcją historyczną regionu,Wtorek-niedziela; 10:00-17:00
18,Wieża Ciśnień Żary,Historia/Architektura,Żary,"51.6450, 15.2870",#industrialne #zabytek #historyczne,0.5-1h,Zabytkowa wieża z XIX wieku,Maj-wrzesień; 10:00-16:00
19,Park im. Sienkiewicza Żary,Natura/Park,Żary,"51.6480, 15.2900",#park #spacer #zielень,1-2h,Miejski park z nauką przyrody,Cały rok; dostęp 24/7
20,Muzeum Regionu Żary Łęczna,Historia/Kultura,Żary,"51.6430, 15.2850",#regionalne #archeologia #sztuka,1.5-2h,Muzeum archeologiczno-historyczne,Wtorek-niedziela; 10:00-16:00
