LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
1,Stary Rynek Poznań,Historia/Architektura,Poznań,"52.4082, 16.9335",#architektura #historia #koziołki,2-3h,Serce miasta z renesansowym ratuszem i słynnymi koziołkami,Cały rok; dostęp 24/7
2,Rogalowe Muzeum Poznania,Kultura/Gastronomia,Poznań,"52.4070, 16.9320",#tradycja #interaktywne #rodzinne,1-1.5h,Interaktywne muzeum z pokazami wypieku rogali św. Marcina,Wtorek-niedziela; 10:00-18:00
3,Zamek Cesarski Poznań,Historia/Architektura,Poznań,"52.4073, 16.9268",#architektura #kulturowe #wystawy,1.5-2h,"Ostatni zamek cesarski w Europie, centrum kultury",Poniedziałek-niedziela; 10:00-18:00
4,Ostrów Tumski Poznań,Historia/Religia,Poznań,"52.4156, 16.9453",#sakralny #historia #piastowie,2-3h,Kolebka Poznania z Archikatedrą i Złotą Kaplicą,Cały rok; dostęp 24/7
5,Brama Poznania ICHOT,Muzeum/Nauka,Poznań,"52.4156, 16.9453",#interaktywne #historia #multimedium,2-3h,Multimedialne centrum wiedzy o Ostrowie Tumskim,Wtorek-niedziela; 9:00-18:00
6,Palmiarnia Poznańska,Natura,Poznań,"52.4165, 16.8946",#egzotyczne #botaniczne #relaks,2-3h,Najstarsza palmiarnia w Polsce z 17000 roślin,Cały rok; 9:00-18:00
7,ZOO Poznań,Natura/Rozrywka,Poznań,"52.4145, 16.8944",#zwierzęta #rodzinne #edukacyjne,Cały dzień,Jedno z najstarszych zoo w Polsce z 2000 zwierząt,Cały rok; 9:00-17:00
8,Termy Maltańskie,Relaks/Aquapark,Poznań,"52.4050, 16.9750",#spa #termalne #aquapark,2-4h,Kompleks basenowy z aquaparkiem i strefą saun,Cały rok; 8:00-22:00
9,Jezioro Maltańskie,Natura/Sport,Poznań,"52.4050, 16.9750",#aktywne #kajakarstwo #spacer,2-4h,Jezioro regatowe z trasami rowerowymi i kajakowymi,Cały rok; dostęp 24/7
10,Cytadela Poznań,Historia/Park,Poznań,"52.4200, 16.8930",#historia #park #militaria,2-3h,Kompleks forteczny z muzeami i parkiem,Cały rok; 9:00-17:00
11,Muzeum Powstania Wielkopolskiego,Historia,Poznań,"52.4082, 16.9335",#historia #militaria #edukacyjne,1.5-2h,Muzeum poświęcone powstaniu 1918-1919,Wtorek-niedziela; 10:00-17:00
12,Muzeum Narodowe Poznań,Sztuka/Kultura,Poznań,"52.4100, 16.9200",#sztuka #wystawy #edukacyjne,2-3h,Jedno z najstarszych muzeów w Polsce,Wtorek-niedziela; 10:00-18:00
13,PIXEL XL Poznań,Rozrywka/Sport,Poznań,"52.4000, 16.9100",#aktywne #trampoliny #rodzinne,2-3h,Park trampolin i przeszkód indoor,Codziennie; 10:00-21:00
14,Stare Browary Poznań,Rozrywka/Shopping,Poznań,"52.4084, 16.9202",#shopping #gastronomia #kulturowe,2-4h,Centrum handlowo-kulturalne w industrialnej architekturze,Codziennie; 10:00-21:00
15,Park Cytadela,Natura/Historia,Poznań,"52.4200, 16.8930",#park #pomniki #spacer,1-2h,Największy park Poznania z pamiątkami wojennymi,Cały rok; dostęp 24/7
16,Katedra Gnieźnieńska,Historia/Religia,Gniezno,"52.5349, 17.5927",#sakralny #piastowie #unesco,1.5-2h,Bazylika z Drzwiami Gnieźnieńskimi - kolebka Polski,Codziennie; 9:00-17:00
17,Muzeum Archidiecezjalne Gniezno,Historia/Sztuka,Gniezno,"52.5349, 17.5927",#sztuka #religia #skarby,1-1.5h,Kolekcja sztuki sakralnej i pamiątek historycznych,Wtorek-sobota; 10:00-16:00
18,Muzeum Początków Państwa Polskiego,Historia/Archeologia,Gniezno,"52.5349, 17.5927",#archeologia #piastowie #edukacyjne,1.5-2h,Muzeum o początkach państwa polskiego,Wtorek-niedziela; 9:00-17:00
19,Muzeum Pierwszych Piastów Lednica,Historia/Archeologia,Dziekanowice/Lednica,"52.5226, 17.3848",#archeologia #piastowie #interaktywne,3-4h,Kompleks muzealny na wyspie Ostrów Lednicki,Maj-wrzesień; 9:00-18:00
20,Ostrów Lednicki,Historia/Archeologia,Lednica,"52.5226, 17.3848",#piastowie #wykopaliska #chrzest,2-3h,Wyspa z grodziskiem pierwszych Piastów,Maj-wrzesień; 9:00-18:00
21,Jezioro Lednica,Natura/Rekreacja,Lednica,"52.5226, 17.3848",#jezioro #spacer #kajaki,2-3h,Jezioro rynnowe z 5 wyspami i szlakami,Cały rok; dostęp 24/7
22,Wielkopolski Park Etnograficzny,Kultura/Skansen,Dziekanowice,"52.5280, 17.3900",#skansen #tradycja #architektura,2-3h,Największy skansen w Wielkopolsce,Maj-wrzesień; 9:00-17:00
23,Gród Pobiedziska,Historia/Archeologia,Pobiedziska,"52.4820, 17.2690",#rekonstrukcja #średniowiecze #edukacyjne,1-2h,Rekonstrukcja wczesnośredniowiecznego grodu,Maj-wrzesień; 10:00-17:00
24,Gród Zawodzie Kalisz,Historia/Archeologia,Kalisz,"51.7569, 18.0885",#archeologia #piastowie #skansen,1.5-2h,Skansen archeologiczny dawnego grodu Calisia,Maj-wrzesień; 10:00-17:00
25,Baszta Dorotka Kalisz,Historia/Muzeum,Kalisz,"51.7569, 18.0885",#legenda #interaktywne #baśnie,1-1.5h,Centrum Kaliskich Baśni i Legend w średniowiecznej baszcie,Wtorek-niedziela; 10:00-17:00
26,Katedra św. Mikołaja Kalisz,Religia/Sztuka,Kalisz,"51.7612, 18.0886",#sakralny #młodopolskie #architektura,0.5-1h,Katedra z polichromiami Tetmajera,Codziennie; 8:00-18:00
27,Gród w Gieczu,Historia/Archeologia,Giecz,"52.3780, 17.3180",#archeologia #piastowie #rezerwat,1.5-2h,Rezerwat archeologiczny grodu wczesnopiastowskiego,Maj-wrzesień; 9:00-17:00
28,Gród w Grzybowie,Historia/Archeologia,Grzybowo,"52.5600, 17.4200",#archeologia #średniowiecze #edukacyjne,1-1.5h,Rezerwat archeologiczny z rekonstrukcją grodu,Maj-wrzesień; 10:00-16:00
29,Parowozownia Gniezno,Technika/Historia,Gniezno,"52.5286, 17.5959",#industrialne #kolejnictwo #rodzinne,1.5-2h,Zabytkowa parowozownia z interaktywnymi eksponatami,Wtorek-niedziela; 10:00-17:00
30,Sanktuarium Licheń,Religia/Architektura,Licheń Stary,"52.3219, 18.3503",#sakralny #pielgrzymki #monumentalne,2-3h,Największa bazylika w Polsce z wieżą widokową,Codziennie; 6:00-20:00
31,Zamek w Kórniku,Historia/Architektura,Kórnik,"52.2461, 17.0893",#neogotycki #muzeum #arboretum,2-3h,Bajkowy zamek z kolekcją muzealną i biblioteką,Wtorek-niedziela; 10:00-17:00
32,Arboretum Kórnickie,Natura/Park,Kórnik,"52.2461, 17.0893",#botaniczne #dendrologiczne #spacer,2-3h,Jedno z najstarszych arboretów w Europie,Cały rok; 9:00-18:00
