LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
1,Afrykarium Wrocław,Nauka,Wrocław,"51.120, 17.055",#egzotyczne #podwodne,2-3h,Największe europejskie akwarium,Cały rok; 9:00-19:00
2,Arboretum Jarków,Natura/Relaks,Jarków,"50.4012, 16.2650",#orientalne #edukacyjne,1h,Prywatny Ogród Japoński,Sezonowo; 10:00-16:00
3,Arboretum Leśne,Natura,Stradomia,"51.2664, 17.6772",#przyroda #aktywne,2-3h,Arboretum 650 ha,Cały rok; 8:00-18:00
4,Arboretum Wojsławice,Natura,Wojsławice,"50.7128, 16.8563",#botaniczne #fotogeniczne,3-4h,Ogród z 900 rododendronami,13.04-19.10; 9:00-17:00
5,Arboretum Lipnie,Natura/Relaks,Lipno,"50.6167, 17.6042",#historyczne #botaniczne,1-2h,Najstarsze arboretum (1783),Cały rok; 9:00-17:00
6,Arboretum Lądek,Natura,Lądek-Zdrój,"50.3367, 16.8939",#zielone #relaks,1-2h,Ogród 300 gatunków,Sezonowo; 9:00-17:00
7,Bramy Morawskie,Natura,Witkowice,"50.850, 15.545",#edukacyjny,2-3h,Arboretum europejskie,Maj-wrzesień; 9:00-17:00
8,Chata Szwajcarki,Przygoda,Mysłakowice,"50.850, 15.550",#górskie #gastronomia,1-1.5h,Tradycyjna gospoda,Cały rok; 9:00-18:00
9,Dolina Baryczy,Natura,Dolina Baryczy,"51.4250, 16.7750",#ptaki #edukacyjne,2-4h,Park wodno-błotny,Cały rok; dostęp 24/7
10,Dolina Pięciu Stawów,Przygoda,Szklarska,"50.846, 15.539",#górskie #jeziorka,3-4h,Szlak z 5 jeziorkami,Czerwiec-wrzesień
11,Dom Hauptmanna,Historia,Szklarska,"50.846, 15.539",#artystyczne #muzeum,1-1.5h,Dom Premio Nobla,Maj-wrzesień; 10:00-16:00
12,Droga Zieleńca,Punkt widokowy,Duszniki,"50.4080, 16.5180",#przyroda #panorama,1h,Taras widokowy,Maj-wrzesień; dostęp 24/7
13,Grota Niedźwiedzia,Przygoda,Kłodzko,"50.387, 16.736",#podziemna #paleolitu,1-1.5h,Jaskinia z formacjami,Maj-wrzesień; 10:00-16:00
14,Góra Czarna,Przygoda,Harrachów,"50.798, 15.604",#górskie #szlaki,1-1.5h,Szczyt turystyczny,Cały rok
15,Góra Szybowcowa,Punkt widokowy,Jeżów,"50.9660, 15.7440",#widokowe #rodzinne,1-2h,Wieża widokowa,Cały rok; dostęp 24/7
16,Góra Trzy Korony,Przygoda,Karpacz,"50.783, 15.770",#górskie #widokowe,1.5-2h,Szczyt z widokami,Cały rok; dostęp 24/7
17,Góra Ślęża,Przygoda,Sobótka,"50.857, 16.702",#aktywne #panoramiczne,2-3h,Święta góra Słowian,Cały rok; dostęp 24/7
18,Górki Gorące,Relaks,Gorzyce,"50.960, 16.200",#termalne #spa,2-3h,Termalny basen,Cały rok; 8:00-22:00
19,Hala Stulecia,Architektura,Wrocław,"51.112, 17.069",#architektura #modernistyczne,1.5-2h,Zabytek UNESCO,Cały rok; 10:00-18:00
